Sehir,Id,bolum_adi,Tur,Universite,Fakülte,Ogrenim_sekli,Ozellik,2025_Taban_Puan,2025_Taban_Sıralama,2025_Kontenjan,2025_Dolu_Kontenjan,2025_Bos_Kontenjan,2025_Kontenjan_Orani,2025_Sıralama_Degisim_Orani,2025_Ucret,2024_TabanPuani,2024_TabanSıralama,2024_Kontenjan,2024_Dolu_Kontenjan,2024_Bos_Kontenjan,2024_Kontenjan_Orani,2024_Ucret
Konya,108911647,ACİL YARDIM VE AFET YÖNETİMİ,Devlet,Selçuk Ü.,Beyşehir Ali Akkanat Uygulamalı Bilimler Y.O.,Örgün,-,"259,0515",522.900,30,30,0,"100,0%",-17.961,-,"248,8887",540.861,30,30,-,"100,0%",-
Erzurum,103730146,ACİL YARDIM VE AFET YÖNETİMİ,Devlet,Erzurum Teknik Ü.,Sağlık Bilimleri Fak.,Örgün,-,"256,4496",542.400,30,30,0,"100,0%",-16.446,-,"246,9109","m
558.846",30,30,-,"100,0%",-
Burdur,107310473,ACİL YARDIM VE AFET YÖNETİMİ,Devlet,Burdur Mehmet Akif Ersoy Ü.,Bucak Sağlık Y.O.,Örgün,-,"254,2601",560.200,30,30,0,"100,0%",-14.219,-,"245,2765",574.419,30,30,-,"100,0%",-
Artvin,101370270,ACİL YARDIM VE AFET YÖNETİMİ,Devlet,Artvin Çoruh Ü.,Sağlık Bilimleri Fak.,Örgün,-,"251,5500",582.900,30,30,0,"100,0%",-38.258,-,"240,6778",621.158,30,30,-,"100,0%",-
Gümüşhane,104790017,ACİL YARDIM VE AFET YÖNETİMİ,Devlet,Gümüşhane Ü.,Sağlık Bilimleri Fak.,Örgün,-,"247,2992",621.400,30,30,0,"100,0%",-14.927,-,"o
239,2552",636.327,30,30,-,"100,0%",-
Tunceli,109590048,ACİL YARDIM VE AFET YÖNETİMİ,Devlet,Munzur Ü.,Sağlık Bilimleri Fak.,Örgün,-,"245,4268",639.500,30,30,0,"100,0%",-22.202,-,"237,0038",661.702,30,30,-,"100,0%",-
Erzurum,101490475,ACİL YARDIM VE AFET YÖNETİMİ,Devlet,Atatürk Ü.,Uygulamalı Bilimler Fak.,Örgün,-,"244,1457",652.200,30,30,0,"100,0%",-14.108,"c
-","236,6029",666.308,30,30,-,"100,0%",-
Bayburt,101890037,ACİL YARDIM VE AFET YÖNETİMİ,Devlet,Bayburt Ü.,Uygulamalı Bilimler Fak.,Örgün,-,"242,7332",666.900,30,30,0,"100,0%",-9.417,-,"235,7422",676.317,30,30,-,"100,0%",-
Gümüşhane,104710336,ACİL YARDIM VE AFET YÖNETİMİ,Devlet,Gümüşhane Ü.,Sağlık Bilimleri Fak.,Örgün,-,"242,1664",672.600,30,30,0,"100,0%",".
-30.510",-,"233,5009",703.110,30,30,-,"100,0%",-
Ardahan,101290082,ACİL YARDIM VE AFET YÖNETİMİ,Devlet,Ardahan Ü.,Sağlık Bilimleri Fak.,Örgün,-,"239,1459",705.000,30,30,0,"100,0%",-25.017,-,"231,2934",730.017,30,30,-,"100,0%",-
Girne,300211622,ACİL YARDIM VE AFET YÖNETİMİ,Kıbrıs,Girne Amerikan Ü.,Sağlık Bilimleri Fak.,Burslu,İng.,"217,9800",959.800,5,5,0,"m
100,0%",-14.951,-,"212,1023",974.751,5,5,-,"100,0%",-
Girne,300290443,ACİL YARDIM VE AFET YÖNETİMİ,Kıbrıs,Girne Amerikan Ü.,Sağlık Bilimleri Fak.,%50 İnd.,İng.,-,Dolmadı,5,1,4,"20,0%",-,₺187.425,-,Yer.Olmadı,14,-,-,"0,0%",₺110.250
İstanbul,206511444,ADLİ BİLİMLER,Vakıf,Üsküdar Ü.,Mühendislik ve Doğa Bilimleri Fak.,Burslu,-,"372,9467",135.200,10,10,0,"100,0%",16.095,-,"369,2096",119.105,10,10,-,"100,0%",-
Kütahya,111490229,ADLİ BİLİMLER,Devlet,Kütahya Sağlık Bilimleri Ü.,Mühendislik ve Doğa Bilimleri Fak.,Örgün,-,"330,8202","a
215.700",40,40,0,"100,0%",1.708,-,"317,8129",213.992,40,40,-,"100,0%",-
İstanbul,206511471,ADLİ BİLİMLER,Vakıf,Üsküdar Ü.,Mühendislik ve Doğa Bilimleri Fak.,Ücretli,-,"235,9551",741.000,4,4,0,"100,0%",79.267,₺821.250,"237,0021",661.733,5,5,-,"100,0%",₺433.435
İstanbul,206511462,ADLİ BİLİMLER,Vakıf,Üsküdar Ü.,Mühendislik ve Doğa Bilimleri Fak.,%50 İnd.,-,"s
230,5438",804.600,64,64,0,"100,0%",308.915,₺410.625,"254,2837",495.685,63,63,-,"100,0%",₺216.718
Elazığ,103910743,ADLİ BİLİŞİM MÜHENDİSLİĞİ,Devlet,Fırat Ü.,Teknoloji Fak.,"u
Örgün",-,"329,8260",218.100,53,53,0,"100,0%",6.787,-,"318,8486",211.313,53,53,-,"100,0%",-
Elazığ,103910752,ADLİ BİLİŞİM MÜHENDİSLİĞİ (MTOK),Devlet,Fırat Ü.,"w
Teknoloji Fak.",Örgün,-,"318,8114",247.800,17,17,0,"100,0%",-23.468,-,"298,1616",271.268,17,17,-,"100,0%",-
Ankara,104111719,AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ,Devlet,Gazi Ü.,"w
Teknoloji Fak.",Örgün,-,"299,5761",310.300,35,35,0,"100,0%",-29.134,-,"280,6305",339.434,35,35,-,"100,0%",-
Muğla,107610391,AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ,Devlet,Muğla Sıtkı Koçman Ü.,Teknoloji Fak.,Örgün,-,"269,4031",453.500,25,25,0,"100,0%",-33.505,-,"255,3972",487.005,25,25,-,"100,0%",-
Düzce,103390168,AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ,Devlet,Düzce Ü.,Orman Fak.,Örgün,-,"261,5254",504.800,25,25,0,"100,0%",-49.678,-,"247,3864",554.478,25,25,-,"100,0%",-
Muğla,107690290,AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ (MTOK),Devlet,Muğla Sıtkı Koçman Ü.,Teknoloji Fak.,Örgün,-,"207,9172",1.077.000,10,10,0,"100,0%",12.859,-,"204,5855",1.064.141,10,10,-,"100,0%",-
Ankara,104810335,AKTÜERYA BİLİMLERİ,Devlet,Hacettepe Ü.,Fen Fak.,Örgün,-,"361,5194",153.200,60,60,0,"100,0%",-44.625,-,"324,5111",197.825,60,60,-,"100,0%",-
İstanbul,107290457,AKTÜERYA BİLİMLERİ,Devlet,Marmara Ü.,Finansal Bilimler Fak.,Örgün,-,"350,4387",173.400,65,65,0,"100,0%",-59.815,-,"310,6089",233.215,65,65,-,"100,0%",-
Ankara,101190340,AKTÜERYA BİLİMLERİ,Devlet,Ankara Ü.,Uygulamalı Bilimler Fak.,Örgün,-,"337,6692",199.500,65,65,0,"100,0%",-64.752,-,"300,2243",264.252,65,65,-,"100,0%",-
Konya,108990446,AKTÜERYA BİLİMLERİ,Devlet,Selçuk Ü.,Fen Fak.,Örgün,-,"282,3151",383.300,40,40,0,"100,0%",-68.840,-,"260,2423",452.140,40,40,-,"100,0%",-
Gazimağusa,300190312,AKTÜERYA BİLİMLERİ,Kıbrıs,Doğu Akdeniz Ü.,Fen ve Edebiyat Fak.,Burslu,İng.,"257,3347",535.500,8,8,0,"100,0%",-218.500,-,"229,3809",754.000,8,8,-,"100,0%",-
Kırıkkale,106690363,AKTÜERYA BİLİMLERİ,Devlet,Kırıkkale Ü.,İktisadi ve İdari Bilimler Fak.,Örgün,-,"256,9812",538.100,50,50,0,"100,0%",-109.139,-,"238,2643",647.239,50,50,-,"100,0%",-
Karabük,106190105,AKTÜERYA BİLİMLERİ,Devlet,Karabük Ü.,İşletme Fak.,Örgün,-,"227,0414",847.400,50,50,0,"100,0%",-337.914,-,"192,7161",1.185.314,50,50,-,"100,0%",-
Gazimağusa,300190314,AKTÜERYA BİLİMLERİ,Kıbrıs,Doğu Akdeniz Ü.,Fen ve Edebiyat Fak.,Ücretli,İng.,-,Dolmadı,8,1,7,"12,5%",-,₺380.226,-,Dolmadı,8,2,6,"25,0%",₺232.633
Gazimağusa,300190664,AKTÜERYA BİLİMLERİ,Kıbrıs,Doğu Akdeniz Ü.,Fen ve Edebiyat Fak.,%50 İnd.,İng.,-,Dolmadı,4,1,3,"25,0%",-,₺190.113,-,Yer.Olmadı,4,-,-,"0,0%",₺127.016
Ankara,101110457,ASTRONOMİ VE UZAY BİLİMLERİ,Devlet,Ankara Ü.,Fen Fak.,Örgün,-,"330,4319",216.700,45,45,0,"100,0%",-24.876,-,"307,6506",241.576,45,45,-,"100,0%",-
İstanbul,105610343,ASTRONOMİ VE UZAY BİLİMLERİ,Devlet,İstanbul Ü.,Fen Fak.,Örgün,-,"320,5565",242.700,80,80,0,"100,0%",-1.028,-,"306,8808",243.728,80,80,-,"100,0%",-
İzmir,103410184,ASTRONOMİ VE UZAY BİLİMLERİ,Devlet,Ege Ü.,Fen Fak.,Örgün,-,"311,3842",269.900,55,55,0,"100,0%",-7.958,-,"296,2272",277.858,55,55,-,"100,0%",-
Kayseri,103510102,ASTRONOMİ VE UZAY BİLİMLERİ,Devlet,Erciyes Ü.,Fen Fak.,Örgün,-,"280,7705",390.700,40,40,0,"100,0%",-21.522,-,"266,5789",412.222,40,40,-,"100,0%",-
Erzurum,101490406,ASTRONOMİ VE UZAY BİLİMLERİ,Devlet,Atatürk Ü.,Fen Fak.,Örgün,-,"262,6385",497.200,30,30,0,"100,0%",13.247,-,"255,8022",483.953,30,30,-,"100,0%",-
İzmir,103410633,BAHÇE BİTKİLERİ,Devlet,Ege Ü.,Ziraat Fak.,Örgün,-,"313,1818",264.200,30,30,0,"100,0%",-4.177,-,"299,0031",268.377,30,30,-,"100,0%",-
Antalya,100710481,BAHÇE BİTKİLERİ,Devlet,Akdeniz Ü.,Ziraat Fak.,Örgün,-,"306,3455",286.300,30,30,0,"100,0%",-10.463,-,"o
290,9863",296.763,30,30,-,"100,0%",-
Ankara,101110924,BAHÇE BİTKİLERİ,Devlet,Ankara Ü.,Ziraat Fak.,Örgün,-,"295,4819",325.700,45,45,0,"100,0%",10.389,-,"286,2838",315.311,45,45,-,"100,0%",-
Adana,102910507,BAHÇE BİTKİLERİ,Devlet,Çukurova Ü.,Ziraat Fak.,Örgün,-,"294,8947",328.000,40,40,0,"100,0%",-16.479,"c
-","279,5182",344.479,40,40,-,"100,0%",-
Eskişehir,103810408,BAHÇE BİTKİLERİ,Devlet,Eskişehir Osmangazi Ü.,Ziraat Fak.,Örgün,-,"291,2610",343.000,20,20,0,"100,0%",-3.296,-,"279,1162",346.296,20,20,-,"100,0%",-
Bursa,109710499,BAHÇE BİTKİLERİ,Devlet,Bursa Uludağ Ü.,Ziraat Fak.,Örgün,-,"287,4768",359.400,40,40,0,"100,0%",".
-16.680",-,"273,0063",376.080,40,40,-,"100,0%",-
Samsun,108210708,BAHÇE BİTKİLERİ,Devlet,Ondokuz Mayıs Ü.,Ziraat Fak.,Örgün,-,"284,0152",375.300,25,25,0,"100,0%",-37.050,-,"266,5588",412.350,25,25,-,"100,0%",-
Isparta,112510671,BAHÇE BİTKİLERİ,Devlet,Isparta Uygulamalı Bilimler Ü.,Ziraat Fak.,Örgün,-,"283,1696",379.400,25,25,0,"m
100,0%",-7.116,-,"271,0452",386.516,25,25,-,"100,0%",-
Çanakkale,102710527,BAHÇE BİTKİLERİ,Devlet,Çanakkale Onsekiz Mart Ü.,Ziraat Fak.,Örgün,-,"282,0910",384.400,20,20,0,"100,0%",-18.806,-,"268,1002",403.206,20,20,-,"100,0%",-
Konya,108910958,BAHÇE BİTKİLERİ,Devlet,Selçuk Ü.,Ziraat Fak.,Örgün,-,"275,0547",420.900,30,30,0,"100,0%",-23.954,-,"261,3321",444.854,30,30,-,"100,0%",-
Aydın,100310334,BAHÇE BİTKİLERİ,Devlet,Aydın Adnan Menderes Ü.,Ziraat Fak.,Örgün,-,"273,1125",431.600,40,"i
40",0,"100,0%",-1.154,-,"263,2080",432.754,40,40,-,"100,0%",-
Muğla,107690340,BAHÇE BİTKİLERİ,Devlet,Muğla Sıtkı Koçman Ü.,Fethiye Ziraat Fak.,Örgün,-,"271,4267",441.300,"l
20",20,0,"100,0%",-8.576,-,"260,5714",449.876,20,20,-,"100,0%",-
Kocaeli,106990700,BAHÇE BİTKİLERİ,Devlet,Kocaeli Ü.,Ziraat Fak.,Örgün,-,"268,5068",459.000,40,40,0,"100,0%",-60.084,-,"251,4159",519.084,40,40,-,"100,0%",-
Diyarbakır,103010567,BAHÇE BİTKİLERİ,Devlet,Dicle Ü.,Ziraat Fak.,Örgün,-,"267,6555","a
464.200",30,30,0,"100,0%",-77.098,-,"248,8388",541.298,30,30,-,"100,0%",-
Kayseri,103590499,BAHÇE BİTKİLERİ,Devlet,Erciyes Ü.,Ziraat Fak.,Örgün,-,"265,0200",481.200,30,30,0,"100,0%",-16.901,-,"253,9836",498.101,30,30,-,"100,0%",-
Uşak,109810374,BAHÇE BİTKİLERİ,Devlet,Uşak Ü.,Ziraat Fak.,Örgün,-,"s
264,7367",483.100,20,20,0,"100,0%",-10.764,-,"254,5138",493.864,20,20,-,"100,0%",-
Tekirdağ,107910158,BAHÇE BİTKİLERİ,Devlet,Tekirdağ Namık Kemal Ü.,Ziraat Fak.,Örgün,-,"264,6393",483.800,25,25,0,"100,0%",-39.431,-,"250,9189",523.231,25,25,-,"100,0%",-
Ordu,108310107,BAHÇE BİTKİLERİ,Devlet,Ordu Ü.,Ziraat Fak.,Örgün,"n
-","263,1073",494.000,30,30,0,"100,0%",-57.215,-,"247,7271",551.215,30,30,-,"100,0%",-
Sakarya,111890212,BAHÇE BİTKİLERİ,Devlet,Sakarya Uygulamalı Bilimler Ü.,Ziraat Fak.,Örgün,-,"263,0203",494.600,30,30,0,"100,0%",-42.111,-,"249,3641",536.711,30,30,-,"100,0%",-
Denizli,108690380,BAHÇE BİTKİLERİ,Devlet,Pamukkale Ü.,Ziraat Fak.,"u
Örgün",-,"259,5033",519.600,30,30,0,"100,0%",-17.253,-,"249,3465",536.853,30,30,-,"100,0%",-
Bolu,100110681,BAHÇE BİTKİLERİ,Devlet,Bolu Abant İzzet Baysal Ü.,Ziraat Fak.,Örgün,-,"258,7125",525.300,30,30,0,"100,0%",-23.463,-,"248,0032",548.763,30,30,-,"100,0%",-
Van,110210427,BAHÇE BİTKİLERİ,Devlet,Van Yüzüncü Yıl Ü.,".
Ziraat Fak.",Örgün,-,"258,6943",525.500,20,20,0,"100,0%",-61.398,-,"243,9918",586.898,20,20,-,"100,0%",-
Hatay,107710336,BAHÇE BİTKİLERİ,Devlet,Hatay Mustafa Kemal Ü.,Ziraat Fak.,Örgün,-,"256,4627",542.300,20,20,0,"100,0%",-90.472,-,"239,5956",632.772,20,20,-,"100,0%",-
Şanlıurfa,105010261,BAHÇE BİTKİLERİ,Devlet,Harran Ü.,"w
Ziraat Fak.",Örgün,-,"254,5398",557.900,30,30,0,"100,0%",-43.841,-,"242,5263",601.741,30,30,-,"100,0%",-
K.Maraş,106010285,BAHÇE BİTKİLERİ,Devlet,Kahramanmaraş Sütçü İmam Ü.,Ziraat Fak.,Örgün,-,"254,1844",560.900,25,25,0,"100,0%",-67.695,-,"239,9809",628.595,25,25,-,"100,0%",-
Tokat,104310288,BAHÇE BİTKİLERİ,Devlet,Tokat Gaziosmanpaşa Ü.,Ziraat Fak.,Örgün,-,"254,1397",561.200,25,25,0,"100,0%",-41.920,-,"242,3865",603.120,25,25,-,"100,0%",-
Kırşehir,100610288,BAHÇE BİTKİLERİ,Devlet,Kırşehir Ahi Evran Ü.,Ziraat Fak.,Örgün,-,"250,1386",595.400,30,30,0,"100,0%",-15.720,-,"241,6214",611.120,30,30,-,"100,0%",-
Rize,108710299,BAHÇE BİTKİLERİ,Devlet,Recep Tayyip Erdoğan Ü.,"w
Ziraat Fak.",Örgün,-,"249,9843",596.700,20,20,0,"100,0%",-23.792,-,"240,7409",620.492,20,20,-,"100,0%",-
Malatya,111510497,BAHÇE BİTKİLERİ,Devlet,Malatya Turgut Özal Ü.,Ziraat Fak.,Örgün,-,"249,9654",596.800,30,30,0,"100,0%",-74.649,-,"236,1630",671.449,30,30,-,"100,0%",-
Kilis,106870275,BAHÇE BİTKİLERİ,Devlet,Kilis 7 Aralık Ü.,Ziraat Fak.,Örgün,-,"247,9412",615.300,20,20,0,"100,0%",-18.213,-,"239,5213",633.513,20,20,-,"100,0%",-
Erzurum,101410869,BAHÇE BİTKİLERİ,Devlet,"w
Atatürk Ü.",Ziraat Fak.,Örgün,-,"247,1040",623.400,30,30,0,"100,0%",-15.237,-,"239,0391",638.637,30,30,-,"100,0%",-
Yozgat,102310213,BAHÇE BİTKİLERİ,Devlet,Yozgat Bozok Ü.,Ziraat Fak.,Örgün,-,"245,9793",634.000,30,30,0,"100,0%",-14.926,-,"238,1117",648.926,30,30,-,"100,0%",-
Bingöl,102090104,BAHÇE BİTKİLERİ,Devlet,Bingöl Ü.,Ziraat Fak.,Örgün,-,"241,5167",679.400,20,20,0,"100,0%",-92.041,-,"227,9969",771.441,20,20,-,"100,0%",-
Siirt,109010197,BAHÇE BİTKİLERİ,Devlet,Siirt Ü.,Ziraat Fak.,Örgün,-,"240,2096",693.500,20,20,0,"100,0%",-57.418,-,"229,6210",750.918,20,20,-,"100,0%",-
Adıyaman,100290207,BAHÇE BİTKİLERİ,Devlet,Adıyaman Ü.,Ziraat Fak.,Örgün,-,"239,6493",699.400,20,20,0,"100,0%",-,-,-,Yeni,-,-,-,-,-
Iğdır,105290077,BAHÇE BİTKİLERİ,Devlet,Iğdır Ü.,Ziraat Fak.,Örgün,-,"235,0309",751.700,30,30,0,"100,0%",-40.604,-,"226,3584",792.304,30,30,-,"100,0%",-
Şırnak,109310079,BAHÇE BİTKİLERİ,Devlet,Şırnak Ü.,Ziraat Fak.,Örgün,-,"230,7277",802.300,30,30,0,"100,0%",-71.832,-,"220,0446",874.132,30,30,-,"100,0%",-
Lefke,300390280,BAHÇE BİTKİLERİ,Kıbrıs,Lefke Avrupa Ü.,Tarım Bilimleri ve Teknolojileri Fak.,Burslu,İng.,"228,0994",834.300,15,15,0,"100,0%",-140.106,-,"212,1293",974.406,15,15,-,"100,0%",-
Lefke,300390502,BAHÇE BİTKİLERİ,Kıbrıs,Lefke Avrupa Ü.,Tarım Bilimleri ve Teknolojileri Fak.,%50 İnd.,İng.,"202,6784",1.128.000,15,15,0,"100,0%",-148.962,₺229.500,"179,0865",1.276.962,15,15,-,"100,0%",₺120.000
Trabzon,106210477,BALIKÇILIK TEKNOLOJİSİ MÜHENDİSLİĞİ,Devlet,Karadeniz Teknik Ü.,Sürmene Deniz Bilimleri Fak.,Örgün,-,"238,7634",709.200,25,25,0,"100,0%",-9.570,-,"232,2008",718.770,25,25,-,"100,0%",-
Ordu,108310091,BALIKÇILIK TEKNOLOJİSİ MÜHENDİSLİĞİ,Devlet,Ordu Ü.,Fatsa Deniz Bilimleri Fak.,Örgün,-,"235,1360",750.500,20,20,0,"100,0%",-38.874,-,"226,5860",789.374,20,20,-,"100,0%",-
Girne,300710143,BALIKÇILIK TEKNOLOJİSİ MÜHENDİSLİĞİ,Kıbrıs,Girne Ü.,Deniz Bilimleri Fak.,Burslu,İng.,"225,8679",861.700,3,3,0,"100,0%",-250.973,-,"200,1572",1.112.673,3,3,-,"100,0%",-
İstanbul,107211057,BASIM TEKNOLOJİLERİ,Devlet,Marmara Ü.,Uygulamalı Bilimler Fak.,Örgün,-,"294,1890",330.900,40,40,0,"100,0%",-24.833,-,"277,1044",355.733,40,40,-,"100,0%",-
Ankara,104810732,BESLENME VE DİYETETİK,Devlet,Hacettepe Ü.,Sağlık Bilimleri Fak.,Örgün,-,"416,6944",79.700,27,27,0,"100,0%",743,-,"403,4947",78.957,30,30,-,"100,0%",-
İstanbul,200590137,BESLENME VE DİYETETİK,Vakıf,Bahçeşehir Ü.,Sağlık Bilimleri Fak.,Burslu,İng.,"407,9488",89.400,4,4,0,"100,0%",17.249,-,"410,2685",72.151,5,5,-,"100,0%",-
İstanbul,200190056,BESLENME VE DİYETETİK,Vakıf,Acıbadem Mehmet Ali Aydınlar Ü.,Sağlık Bilimleri Fak.,Burslu,İng.,"400,8076",97.900,4,4,0,"100,0%",11.928,-,"396,8077",85.972,5,5,-,"100,0%",-
İstanbul,206111484,BESLENME VE DİYETETİK,Vakıf,Yeditepe Ü.,Sağlık Bilimleri Fak.,Burslu,İng.,"395,1668",104.900,5,5,0,"100,0%",4.994,-,"384,4075","m
99.906",5,5,-,"100,0%",-
