Sehir,Id,bolum_adi,Tur,Universite,Fakülte,Ogrenim_sekli,Ozellik,2025_Taban_Puan,2025_Taban_Sıralama,2025_Kontenjan,2025_Dolu_Kontenjan,2025_Bos_Kontenjan,2025_Kontenjan_Orani,2025_Sıralama_Degisim_Orani,2025_Ucret,2024_TabanPuani,2024_TabanSıralama,2024_Kontenjan,2024_Dolu_Kontenjan,2024_Bos_Kontenjan,2024_Kontenjan_Orani,2024_Ucret
Niğde,108190120,GAZETECİLİK,Devlet,Niğde Ömer Halisdemir Ü.,İletişim Fak.,Örgün,-,"241,3008",743.600,40,40,0,"100,0%",-198.899,"c
-","242,2612",942.499,75,75,-,"100,0%",-
Hatay,107790339,GAZETECİLİK,Devlet,Hatay Mustafa Kemal Ü.,İletişim Fak.,Örgün,-,"240,6974",749.500,35,35,0,"100,0%",-86.247,-,"252,2813",835.747,35,35,-,"100,0%",-
Elazığ,103910725,GAZETECİLİK,Devlet,Fırat Ü.,İletişim Fak.,Örgün,-,"237,9526",776.100,40,40,0,"100,0%",".
-208.817",-,"238,2170",984.917,65,65,-,"100,0%",-
Karabük,106190299,GAZETECİLİK,Devlet,Karabük Ü.,Safranbolu Türker İnanoğlu İletişim Fak.,Örgün,-,"236,2315",792.200,30,30,0,"100,0%",-161.454,-,"241,2184",953.654,45,45,-,"100,0%",-
Gümüşhane,104790032,GAZETECİLİK,Devlet,Gümüşhane Ü.,İletişim Fak.,Örgün,-,"229,5369",853.500,40,40,0,"m
100,0%",-158.588,-,"235,6213",1.012.088,65,65,-,"100,0%",-
Yozgat,102390089,GAZETECİLİK,Devlet,Yozgat Bozok Ü.,İletişim Fak.,Örgün,-,"228,9664",858.600,40,40,0,"100,0%",-165.262,-,"234,4534",1.023.862,65,65,-,"100,0%",-
Muş,107890039,GAZETECİLİK,Devlet,Muş Alparslan Ü.,İletişim Fak.,Örgün,-,"223,6730",904.800,40,40,0,"100,0%",-143.155,-,"232,0948",1.047.955,55,55,-,"100,0%",-
Türkistan,403990039,GAZETECİLİK,Yabancı,Hoca Ahmet Yesevi Uluslararası Türk-Kazak Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"221,7243",921.000,5,"i
5",0,"100,0%",-387.501,-,"201,2248",1.308.501,5,5,-,"100,0%",-
İstanbul,206552492,GAZETECİLİK,Vakıf,Üsküdar Ü.,İletişim Fak.,%50 İnd.,-,-,Dolmadı,"l
42",25,17,"59,5%",-,₺175.625,-,Dolmadı,34,30,4,"88,2%",₺98.135
Bişkek,405210105,GAZETECİLİK,Yabancı,Kırgızistan-Türkiye Manas Ü.,İletişim Fak.,Örgün,-,-,Dolmadı,10,9,1,"90,0%",-,-,"229,5525",1.073.443,10,10,-,"100,0%",-
İstanbul,202410477,GAZETECİLİK,Vakıf,İstanbul Aydın Ü.,İletişim Fak.,%50 İnd.,-,-,"a
Dolmadı",30,3,27,"10,0%",-,₺300.000,-,Dolmadı,25,23,2,"92,0%",₺150.000
İstanbul,203190048,GAZETECİLİK,Vakıf,İstanbul Medipol Ü.,İletişim Fak.,%50 İnd.,-,-,Dolmadı,30,3,27,"10,0%",-,₺445.000,-,Yeni,-,-,-,-,-
İstanbul,202310893,GAZETECİLİK,Vakıf,İstanbul Arel Ü.,İletişim Fak.,%50 İnd.,-,"s
-",Dolmadı,15,2,13,"13,3%",-,₺221.500,-,Dolmadı,25,5,20,"20,0%",₺246.205
İstanbul,204111375,GAZETECİLİK,Vakıf,Maltepe Ü.,İletişim Fak.,%50 İnd.,-,-,Dolmadı,19,2,17,"10,5%",-,₺418.572,-,Dolmadı,7,2,5,"28,6%",₺280.000
İstanbul,206111245,GAZETECİLİK,Vakıf,Yeditepe Ü.,İletişim Fak.,%50 İnd.,"n
İng.",-,Dolmadı,15,2,13,"13,3%",-,₺563.750,"199,1859",1.321.133,18,18,-,"100,0%",₺319.000
İstanbul,204190798,GAZETECİLİK,Vakıf,Maltepe Ü.,İletişim Fak.,Ücretli,-,-,Dolmadı,2,1,1,"50,0%",-,₺837.144,-,Dolmadı,10,2,8,"20,0%",₺560.000
Genel,105611023,GAZETECİLİK (UÖ),Devlet,İstanbul Ü.,Açık ve Uzaktan Eğitim Fak.,U.Ö.,-,"303,1405",226.900,100,100,0,"100,0%",-147.379,-,"303,0151",374.279,150,150,-,"100,0%",-
Genel,101190433,GAZETECİLİK (UÖ),Devlet,Ankara Ü.,"w
Açık ve Uzaktan Eğitim Fak.",U.Ö.,-,"297,1951",262.200,100,100,0,"100,0%",-106.086,-,"303,8866",368.286,100,100,-,"100,0%",-
Ankara,112810172,GELENEKSEL TÜRK SANATLARI,Devlet,Ankara Müzik ve Güzel Sanatlar Ü.,"w
Sanat ve Tasarım Fak.",Örgün,-,"306,0958",210.600,30,30,0,"100,0%",-,-,-,Yeni,-,-,-,-,-
Konya,107090326,GELENEKSEL TÜRK SANATLARI,Devlet,Necmettin Erbakan Ü.,Güzel Sanatlar ve Mimarlık Fak.,Örgün,-,"288,6905",318.600,20,20,0,"100,0%",1.040,-,"311,7257",317.560,20,20,-,"100,0%",-
Kırıkkale,106690328,GELENEKSEL TÜRK SANATLARI,Devlet,Kırıkkale Ü.,Güzel Sanatlar Fak.,Örgün,-,"231,0088",840.200,30,30,0,"100,0%",-,-,-,Yeni,-,-,-,-,-
Ankara,205410892,GÖRSEL İLETİŞİM TASARIMI,Vakıf,TOBB Ekonomi ve Teknoloji Ü.,Mimarlık ve Tasarım Fak.,Burslu,-,"456,3274",490,6,6,0,"100,0%",23,-,"490,2907",467,5,5,-,"100,0%",-
İstanbul,206111642,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Yeditepe Ü.,İletişim Fak.,Burslu,İng.,"451,9592",640,8,8,0,"100,0%",61,-,"485,7758",579,8,8,-,"100,0%",-
İstanbul,200590271,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Bahçeşehir Ü.,İletişim Fak.,Burslu,İng.,"444,0644",890,7,7,0,"100,0%",-181,-,"473,0994",1.071,5,5,-,"100,0%",-
İstanbul,203711548,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Kadir Has Ü.,İletişim Fak.,Burslu,İng.,"441,5401",1.010,5,5,0,"100,0%",197,-,"478,5683",813,5,5,-,"100,0%",-
Ankara,206710460,GÖRSEL İLETİŞİM TASARIMI,Vakıf,TED Ü.,Mimarlık ve Tasarım Fak.,Burslu,İng.,"438,0550",1.230,5,5,0,"100,0%",16,-,"471,0140",1.214,5,5,-,"100,0%",-
İstanbul,203410729,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Ticaret Ü.,İletişim Fak.,Burslu,-,"423,3604",2.620,5,5,0,"100,0%",-3.286,-,"438,7053",5.906,8,8,-,"100,0%",-
İstanbul,202512278,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Bilgi Ü.,İletişim Fak.,Burslu,İng.,"422,0080",2.790,12,12,0,"100,0%",1.242,-,"466,4460",1.548,10,10,-,"100,0%",-
İzmir,203510473,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İzmir Ekonomi Ü.,Güzel Sanatlar ve Tasarım Fak.,Burslu,İng.,"419,7527",3.100,4,4,0,"100,0%",923,-,"459,1753",2.177,5,5,-,"100,0%",-
Ankara,200690376,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Başkent Ü.,Güzel Sanatlar Tasarım ve Mimarlık Fak.,Burslu,-,"415,1206",3.880,4,4,0,"100,0%",1.608,-,"458,2590",2.272,4,4,-,"100,0%",-
İstanbul,203111299,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Medipol Ü.,Güzel Sanatlar Tasarım ve Mimarlık Fak.,Burslu,-,"401,0709",7.670,8,8,0,"100,0%",-2.024,-,"428,2555",9.694,8,8,-,"100,0%",-
İzmir,206010699,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Yaşar Ü.,İletişim Fak.,Burslu,İng.,"392,7812",11.100,7,7,0,"100,0%",-1.416,-,"422,7223",12.516,7,7,-,"100,0%",-
İstanbul,203211302,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Sabahattin Zaim Ü.,İnsan ve Toplum Bilimleri Fak.,Burslu,-,"392,1353",11.400,5,5,0,"100,0%",-10.023,-,"410,3321",21.423,4,4,-,"100,0%",-
İstanbul,204112091,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Maltepe Ü.,İletişim Fak.,Burslu,-,"389,0879",13.000,3,3,0,"100,0%",-7.510,-,"411,3271",20.510,3,3,-,"100,0%",-
İstanbul,208450805,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstinye Ü.,İletişim Fak.,Burslu,-,"387,9892",13.600,4,4,0,"100,0%",-10.217,-,"407,6145",23.817,4,4,-,"100,0%",-
İzmir,103490164,GÖRSEL İLETİŞİM TASARIMI,Devlet,Ege Ü.,Güzel Sanatlar Tasarım ve Mimarlık Fak.,Örgün,-,"377,5508",21.000,65,65,0,"100,0%",-1.929,-,"408,6150",22.929,65,65,-,"100,0%",-
İstanbul,201990528,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Haliç Ü.,Güzel Sanatlar Fak.,Burslu,-,"373,0086",24.600,9,9,0,"100,0%",-163,-,"406,6550",24.763,9,9,-,"100,0%",-
İstanbul,105490029,GÖRSEL İLETİŞİM TASARIMI,Devlet,İstanbul Medeniyet Ü.,"Sanat, Tasarım ve Mimarlık Fak.",Örgün,-,"370,0944",28.200,55,55,0,"100,0%",-7.110,-,"397,2113",35.310,55,55,-,"100,0%",-
İstanbul,202412482,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Aydın Ü.,İletişim Fak.,Burslu,-,"367,9602",30.500,10,10,0,"100,0%",-7.258,-,"395,3028",37.758,10,10,-,"100,0%",-
İstanbul,206511092,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Üsküdar Ü.,İletişim Fak.,Burslu,-,"365,9828",32.800,10,10,0,"100,0%",-6.525,-,"394,1644",39.325,10,10,-,"100,0%",-
İstanbul,202090303,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Işık Ü.,"Sanat, Tasarım ve Mimarlık Fak.",Burslu,-,"364,6936",34.400,4,4,0,"100,0%",-20.228,-,"384,4207",54.628,4,4,-,"100,0%",-
İstanbul,210301655,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Beykent Ü.,İletişim Fak.,Burslu,-,"364,1892",35.100,4,4,0,"100,0%",-11.159,-,"389,4485",46.259,6,6,-,"100,0%",-
İstanbul,209310236,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Atlas Ü.,"Sanat, Tasarım ve Mimarlık Fak.",Burslu,-,"362,0171",38.200,3,3,0,"100,0%",-42.162,-,"371,3909",80.362,4,4,-,"100,0%",-
İstanbul,204712676,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Okan Ü.,"Sanat, Tasarım ve Mimarlık Fak.",Burslu,-,"361,5859",38.800,6,6,0,"100,0%",-19.106,-,"382,5738","m
57.906",6,6,-,"100,0%",-
İstanbul,208750572,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Kent Ü.,Sanat ve Tasarım Fak.,Burslu,İng.,"361,1600",39.400,3,3,0,"100,0%",3.276,-,"396,5692",36.124,4,4,-,"100,0%",-
Bursa,210000493,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Mudanya Ü.,Sanat ve Sosyal Bilimler Fak.,Burslu,-,"360,0451",41.000,4,4,0,"100,0%",-39.411,-,"371,3709",80.411,4,4,-,"100,0%",-
Eskişehir,103810541,GÖRSEL İLETİŞİM TASARIMI,Devlet,Eskişehir Osmangazi Ü.,Sanat ve Tasarım Fak.,Örgün,-,"356,9676",45.500,75,75,0,"100,0%",-11.631,-,"o
382,9992",57.131,75,75,-,"100,0%",-
Ankara,111711985,GÖRSEL İLETİŞİM TASARIMI,Devlet,Ankara Hacı Bayram Veli Ü.,Güzel Sanatlar Fak.,Örgün,-,"355,0874",48.600,65,65,0,"100,0%",-19.954,-,"376,9953",68.554,65,65,-,"100,0%",-
İstanbul,202990428,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Altınbaş Ü.,İletişim Fak.,Burslu,-,"354,5491",49.600,5,5,0,"100,0%",-,"c
-",-,Yeni,-,-,-,-,-
İstanbul,206210582,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Yeni Yüzyıl Ü.,İletişim Fak.,Burslu,-,"353,5242",51.300,7,7,0,"100,0%",-9.870,-,"380,7722",61.170,6,6,-,"100,0%",-
İstanbul,201210755,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Doğuş Ü.,Sanat ve Tasarım Fak.,Burslu,-,"351,9708",54.200,8,8,0,"100,0%",".
-15.988",-,"376,1722",70.188,9,9,-,"100,0%",-
İzmir,105761186,GÖRSEL İLETİŞİM TASARIMI,Devlet,İzmir Katip Çelebi Ü.,Sanat ve Tasarım Fak.,Örgün,-,"349,1183",59.400,35,35,0,"100,0%",-24.041,-,"370,0461",83.441,35,35,-,"100,0%",-
İstanbul,201790285,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Gedik Ü.,Mimarlık ve Tasarım Fak.,Burslu,-,"349,1058",59.500,6,6,0,"m
100,0%",-9.212,-,"376,9172",68.712,6,6,-,"100,0%",-
İstanbul,202310812,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Arel Ü.,İletişim Fak.,Burslu,-,"346,1872",65.600,5,5,0,"100,0%",-12.888,-,"372,2050",78.488,4,4,-,"100,0%",-
İstanbul,205090310,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Topkapı Ü.,İletişim Fak.,Burslu,-,"346,0833",65.800,8,8,0,"100,0%",-14.749,-,"371,3254",80.549,8,8,-,"100,0%",-
Ankara,110090077,GÖRSEL İLETİŞİM TASARIMI,Devlet,Ankara Yıldırım Beyazıt Ü.,Mimarlık ve Güzel Sanatlar Fak.,Örgün,-,"343,8216",70.900,65,"i
65",0,"100,0%",-22.432,-,"365,9151",93.332,65,65,-,"100,0%",-
İstanbul,210302446,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Beykent Ü.,İletişim Fak.,Burslu,İng.,"342,2147",74.800,"l
39",39,0,"100,0%",-,-,-,Yeni,-,-,-,-,-
İstanbul,202791180,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Gelişim Ü.,Güzel Sanatlar Fak.,Burslu,-,"340,5566",78.900,14,14,0,"100,0%",-,-,-,Yeni,-,-,-,-,-
Sakarya,108810889,GÖRSEL İLETİŞİM TASARIMI,Devlet,Sakarya Ü.,"Sanat, Tasarım ve Mimarlık Fak.",Örgün,-,"338,8247","a
83.400",65,65,0,"100,0%",-22.188,-,"361,2884",105.588,65,65,-,"100,0%",-
Kocaeli,106910716,GÖRSEL İLETİŞİM TASARIMI,Devlet,Kocaeli Ü.,İletişim Fak.,Örgün,-,"335,5173",92.200,85,85,0,"100,0%",-34.513,-,"354,1060",126.713,85,85,-,"100,0%",-
Aydın,100390222,GÖRSEL İLETİŞİM TASARIMI,Devlet,Aydın Adnan Menderes Ü.,İletişim Fak.,Örgün,-,"s
324,5090",127.700,75,75,0,"100,0%",-45.524,-,"340,9173",173.224,75,75,-,"100,0%",-
Düzce,103390216,GÖRSEL İLETİŞİM TASARIMI,Devlet,Düzce Ü.,"Sanat, Tasarım ve Mimarlık Fak.",Örgün,-,"323,0224",133.200,30,30,0,"100,0%",-27.185,-,"344,2038",160.385,30,30,-,"100,0%",-
Bolu,100190292,GÖRSEL İLETİŞİM TASARIMI,Devlet,Bolu Abant İzzet Baysal Ü.,İletişim Fak.,Örgün,"n
-","322,3287",135.900,30,30,0,"100,0%",-91.760,-,"328,3351",227.660,30,30,-,"100,0%",-
Gaziantep,201610724,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Hasan Kalyoncu Ü.,İletişim Fak.,Burslu,-,"322,2614",136.200,5,5,0,"100,0%",60.720,-,"373,6295",75.480,5,5,-,"100,0%",-
Trabzon,200390228,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Avrasya Ü.,İletişim Fak.,"u
Burslu",-,"318,8786",149.600,5,5,0,"100,0%",-102.793,-,"323,3518",252.393,5,5,-,"100,0%",-
Isparta,109290343,GÖRSEL İLETİŞİM TASARIMI,Devlet,Süleyman Demirel Ü.,İletişim Fak.,Örgün,-,"314,3841",169.300,55,55,0,"100,0%",-40.854,-,"332,1169",210.154,55,55,-,"100,0%",-
Kütahya,103210592,GÖRSEL İLETİŞİM TASARIMI,Devlet,Kütahya Dumlupınar Ü.,".
Güzel Sanatlar Fak.",Örgün,-,"304,1091",221.500,85,85,0,"100,0%",-32.728,-,"323,0059",254.228,85,85,-,"100,0%",-
Ankara,205410908,GÖRSEL İLETİŞİM TASARIMI,Vakıf,TOBB Ekonomi ve Teknoloji Ü.,Mimarlık ve Tasarım Fak.,%50 İnd.,-,"299,4492",248.300,23,23,0,"100,0%",-60.469,₺465.000,"313,1765",308.769,22,22,-,"100,0%",₺300.000
Gazimağusa,300190399,GÖRSEL İLETİŞİM TASARIMI,Kıbrıs,Doğu Akdeniz Ü.,"w
İletişim Fak.",Burslu,İng.,"295,6680",272.000,9,9,0,"100,0%",-130.583,-,"299,0546",402.583,9,9,-,"100,0%",-
Burdur,107390101,GÖRSEL İLETİŞİM TASARIMI,Devlet,Burdur Mehmet Akif Ersoy Ü.,Sanat ve Tasarım Fak.,Örgün,-,"284,4915",349.500,65,65,0,"100,0%",-47.555,-,"299,8309",397.055,65,65,-,"100,0%",-
Nevşehir,108090082,GÖRSEL İLETİŞİM TASARIMI,Devlet,Nevşehir Hacı Bektaş Veli Ü.,Güzel Sanatlar Fak.,Örgün,-,"283,9019",353.800,55,55,0,"100,0%",-31.881,-,"301,4153",385.681,55,55,-,"100,0%",-
Malatya,111570304,GÖRSEL İLETİŞİM TASARIMI,Devlet,Malatya Turgut Özal Ü.,"Sanat, Tasarım ve Mimarlık Fak.",Örgün,-,"255,3189",606.800,40,40,0,"100,0%",-227.190,-,"252,4445",833.990,40,40,-,"100,0%",-
İzmir,203510491,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İzmir Ekonomi Ü.,"w
Güzel Sanatlar ve Tasarım Fak.",%50 İnd.,İng.,"243,3172",724.000,30,30,0,"100,0%",246.253,₺414.000,"289,2617",477.747,37,37,-,"100,0%",₺236.500
Artvin,101370314,GÖRSEL İLETİŞİM TASARIMI,Devlet,Artvin Çoruh Ü.,Sanat ve Tasarım Fak.,Örgün,-,"242,6578",730.200,35,35,0,"100,0%",-134.519,-,"249,5601",864.719,35,35,-,"100,0%",-
Elazığ,103990153,GÖRSEL İLETİŞİM TASARIMI,Devlet,Fırat Ü.,İletişim Fak.,Örgün,-,"236,7284",787.500,65,65,0,"100,0%",-122.538,-,"245,3267",910.038,65,65,-,"100,0%",-
K.Maraş,112270971,GÖRSEL İLETİŞİM TASARIMI,Devlet,"w
Kahramanmaraş İstiklal Ü.",İletişim Fak.,Örgün,-,"234,0617",812.500,30,30,0,"100,0%",-,-,-,Yeni,-,-,-,-,-
Lefkoşa,300512186,GÖRSEL İLETİŞİM TASARIMI,Kıbrıs,Yakın Doğu Ü.,İletişim Fak.,Burslu,-,"233,2148",820.200,15,15,0,"100,0%",-372.283,-,"216,7229",1.192.483,11,11,-,"100,0%",-
Bursa,210000500,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Mudanya Ü.,Sanat ve Sosyal Bilimler Fak.,%50 İnd.,-,"223,5601",905.700,25,25,0,"100,0%",287.309,₺416.500,"273,4853",618.391,25,25,-,"100,0%",₺248.400
Ankara,200690692,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Başkent Ü.,Güzel Sanatlar Tasarım ve Mimarlık Fak.,%50 İnd.,-,"215,3921",970.900,28,28,0,"100,0%",479.774,₺455.000,"287,6501",491.126,28,28,-,"100,0%",₺270.000
Lefke,300390565,GÖRSEL İLETİŞİM TASARIMI,Kıbrıs,Lefke Avrupa Ü.,İletişim Bilimleri Fak.,Burslu,İng.,"210,6487",1.005.000,10,10,0,"100,0%",-2.162,-,"236,0984",1.007.162,10,10,-,"100,0%",-
Gaziantep,201610733,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Hasan Kalyoncu Ü.,İletişim Fak.,%50 İnd.,-,"207,7802",1.025.000,14,14,0,"100,0%",406.323,₺302.500,"273,4561",618.677,14,14,-,"100,0%",₺137.500
İstanbul,202310821,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Arel Ü.,İletişim Fak.,%50 İnd.,-,"178,1208",1.157.000,15,15,0,"100,0%",-,₺234.000,-,Dolmadı,25,7,18,"28,0%",₺246.205
İstanbul,206111651,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Yeditepe Ü.,İletişim Fak.,%50 İnd.,İng.,-,Dolmadı,50,35,15,"70,0%",-,₺563.750,"292,7173",450.024,54,54,-,"100,0%",₺319.000
İstanbul,206511117,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Üsküdar Ü.,İletişim Fak.,%50 İnd.,-,-,Dolmadı,71,35,36,"49,3%",-,₺311.950,"220,0650",1.163.031,59,59,-,"100,0%",₺174.325
İzmir,206010706,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Yaşar Ü.,İletişim Fak.,%50 İnd.,İng.,-,Dolmadı,37,34,3,"91,9%",-,₺360.000,"256,8840",786.908,36,36,-,"100,0%",₺215.000
İstanbul,202512312,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Bilgi Ü.,İletişim Fak.,%50 İnd.,İng.,-,Dolmadı,64,30,34,"46,9%",-,₺595.000,"245,2890",910.416,56,56,-,"100,0%",₺348.750
İstanbul,203410686,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Ticaret Ü.,İletişim Fak.,%50 İnd.,-,-,Dolmadı,31,30,1,"96,8%",-,₺297.500,-,Dolmadı,43,23,20,"53,5%",₺170.000
İstanbul,203211303,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Sabahattin Zaim Ü.,İnsan ve Toplum Bilimleri Fak.,%50 İnd.,-,-,Dolmadı,37,28,9,"75,7%",-,₺295.000,"267,7017",675.180,31,31,-,"100,0%",₺162.500
Ankara,206710461,GÖRSEL İLETİŞİM TASARIMI,Vakıf,TED Ü.,Mimarlık ve Tasarım Fak.,%50 İnd.,İng.,-,Dolmadı,35,28,7,"80,0%",-,₺460.000,"295,2501",430.693,35,35,-,"100,0%",₺300.000
İstanbul,206210591,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Yeni Yüzyıl Ü.,İletişim Fak.,%50 İnd.,-,-,Dolmadı,42,24,18,"57,1%",-,₺160.000,-,Dolmadı,38,27,11,"71,1%",₺100.000
İstanbul,201790292,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Gedik Ü.,Mimarlık ve Tasarım Fak.,%50 İnd.,-,-,Dolmadı,42,22,20,"52,4%",-,₺337.500,-,Dolmadı,42,37,5,"88,1%",₺212.500
İstanbul,203711557,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Kadir Has Ü.,İletişim Fak.,%50 İnd.,İng.,-,Dolmadı,34,22,12,"64,7%",-,₺615.000,-,Dolmadı,34,24,10,"70,6%",₺342.650
İstanbul,201210764,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Doğuş Ü.,Sanat ve Tasarım Fak.,%50 İnd.,-,-,Dolmadı,54,21,33,"38,9%",-,₺351.850,-,Dolmadı,65,49,16,"75,4%",₺227.000
İstanbul,208450806,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstinye Ü.,İletişim Fak.,%50 İnd.,-,-,Dolmadı,25,20,5,"80,0%",-,₺315.000,-,Dolmadı,25,13,12,"52,0%",₺225.000
İstanbul,200590285,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Bahçeşehir Ü.,İletişim Fak.,%50 İnd.,İng.,-,Dolmadı,30,18,12,"60,0%",-,₺586.500,"278,6936",569.723,22,22,-,"100,0%",₺316.250
İstanbul,202412491,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Aydın Ü.,İletişim Fak.,%50 İnd.,-,-,Dolmadı,70,16,54,"22,9%",-,₺300.000,"180,3303",1.401.408,59,59,-,"100,0%",₺150.000
İstanbul,205090317,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Topkapı Ü.,İletişim Fak.,%50 İnd.,-,-,Dolmadı,54,15,39,"27,8%",-,₺300.000,-,Dolmadı,50,11,39,"22,0%",₺176.000
İstanbul,203190047,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Medipol Ü.,Güzel Sanatlar Tasarım ve Mimarlık Fak.,%50 İnd.,-,-,Dolmadı,50,12,38,"24,0%",-,₺485.000,-,Yeni,-,-,-,-,-
İstanbul,201990804,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Haliç Ü.,Güzel Sanatlar Fak.,%25 İnd.,-,-,Dolmadı,55,11,44,"20,0%",-,₺371.250,-,Dolmadı,48,24,24,"50,0%",₺231.000
İstanbul,209310243,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Atlas Ü.,"Sanat, Tasarım ve Mimarlık Fak.",%50 İnd.,-,-,Dolmadı,25,11,14,"44,0%",-,₺350.000,-,Dolmadı,25,16,9,"64,0%",₺200.000
Girne,301610017,GÖRSEL İLETİŞİM TASARIMI,Kıbrıs,Arkın Yaratıcı Sanatlar ve Tasarım Ü.,İletişim Fak.,Burslu,İng.,-,Dolmadı,12,10,2,"83,3%",-,-,-,"m
Dolmadı",11,7,4,"63,6%",-
Lefkoşa,300990057,GÖRSEL İLETİŞİM TASARIMI,Kıbrıs,Kıbrıs Amerikan Ü.,Güzel Sanatlar Fak.,Burslu,-,-,Dolmadı,10,8,2,"80,0%",-,-,"199,5547",1.318.882,12,12,-,"100,0%",-
İstanbul,208750579,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Kent Ü.,Sanat ve Tasarım Fak.,%50 İnd.,İng.,-,Dolmadı,17,6,11,"35,3%",-,₺240.000,-,Dolmadı,25,11,14,"44,0%",₺160.000
İstanbul,202791187,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Gelişim Ü.,Güzel Sanatlar Fak.,%50 İnd.,-,-,Dolmadı,25,5,20,"20,0%",-,₺440.000,"o
-",Yeni,-,-,-,-,-
Gazimağusa,300190400,GÖRSEL İLETİŞİM TASARIMI,Kıbrıs,Doğu Akdeniz Ü.,İletişim Fak.,Ücretli,İng.,-,Dolmadı,24,5,19,"20,8%",-,₺428.348,-,Dolmadı,24,5,19,"20,8%",₺259.372
Gaziantep,201650304,GÖRSEL İLETİŞİM TASARIMI,Vakıf,Hasan Kalyoncu Ü.,İletişim Fak.,Ücretli,-,-,Dolmadı,15,4,11,"26,7%",-,"c
₺605.000","203,9473",1.290.681,15,15,-,"100,0%",₺275.000
İstanbul,204712685,GÖRSEL İLETİŞİM TASARIMI,Vakıf,İstanbul Okan Ü.,"Sanat, Tasarım ve Mimarlık Fak.",%50 İnd.,-,-,Dolmadı,38,4,34,"10,5%",-,₺460.845,-,Dolmadı,38,20,18,"52,6%",₺249.104
Ankara,205410962,GÖRSEL İLETİŞİM TASARIMI,Vakıf,TOBB Ekonomi ve Teknoloji Ü.,Mimarlık ve Tasarım Fak.,Ücretli,-,-,Dolmadı,19,4,15,"21,1%",".
-",₺930.000,"237,8305",988.908,15,15,-,"100,0%",₺600.000
