Sehir,Id,bolum_adi,Tur,Universite,Fakülte,Ogrenim_sekli,Ozellik,2025_Taban_Puan,2025_Taban_Sıralama,2025_Kontenjan,2025_Dolu_Kontenjan,2025_Bos_Kontenjan,2025_Kontenjan_Orani,2025_Sıralama_Degisim_Orani,2025_Ucret,2024_TabanPuani,2024_TabanSıralama,2024_Kontenjan,2024_Dolu_Kontenjan,2024_Bos_Kontenjan,2024_Kontenjan_Orani,2024_Ucret
Manisa,102590447,COĞRAFYA,Devlet,Manisa Celâl Bayar Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"295,3012",274.400,40,40,0,"100,0%",-36.115,-,"312,8856",310.515,60,60,-,"100,0%",-
Samsun,112771148,COĞRAFYA,Devlet,Samsun Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"291,0923",302.000,40,40,0,"100,0%",13.914,-,"316,7511",288.086,50,50,-,"100,0%",-
Isparta,109290424,COĞRAFYA,Devlet,Süleyman Demirel Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"290,5504",305.700,40,40,0,"100,0%",2.018,-,"314,0442",303.682,50,50,-,"100,0%",-
Malatya,105390340,COĞRAFYA,Devlet,İnönü Ü.,"w
Fen-Edebiyat Fak.",Örgün,-,"286,4774",334.500,36,36,0,"100,0%",50.623,-,"317,4960",283.877,36,36,-,"100,0%",-
Erzurum,101410075,COĞRAFYA,Devlet,Atatürk Ü.,Edebiyat Fak.,Örgün,-,"285,9746",338.300,40,40,0,"100,0%",35.758,-,"314,2345",302.542,50,50,-,"100,0%",-
Şanlıurfa,105010022,COĞRAFYA,Devlet,Harran Ü.,Fen-Edebiyat Fak.,Örgün,-,"283,7749",354.800,35,35,0,"100,0%",85.122,-,"320,0657",269.678,40,40,-,"100,0%",-
Nevşehir,108010446,COĞRAFYA,Devlet,"w
Nevşehir Hacı Bektaş Veli Ü.",Fen-Edebiyat Fak.,Örgün,-,"281,8810",369.500,40,40,0,"100,0%",12.205,-,"305,5127",357.295,50,50,-,"100,0%",-
Elazığ,103990364,COĞRAFYA,Devlet,Fırat Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"280,8604",377.300,30,30,0,"100,0%",28.931,-,"306,8593",348.369,40,40,-,"100,0%",-
Van,110210154,COĞRAFYA,Devlet,Van Yüzüncü Yıl Ü.,Edebiyat Fak.,Örgün,-,"277,3196",406.000,40,40,0,"100,0%",146.030,-,"321,8951",259.970,50,50,-,"100,0%",-
Afyon,100410069,COĞRAFYA,Devlet,Afyon Kocatepe Ü.,Fen-Edebiyat Fak.,Örgün,-,"276,1672",415.600,40,40,0,"100,0%",42.191,-,"303,1448",373.409,50,50,-,"100,0%",-
